94643 179550
1/1 1 1
1/5 1 5
1/6 1 6
1/14 1 14
1/15 1 15
1/16 1 16
1/17 1 17
1/18 1 18
1/19 1 19
1/20 1 20
1/21 1 21
1/23 1 23
1/24 1 24
1/25 1 25
1/26 1 26
1/27 1 27
1/28 1 28
1/29 1 29
1/30 1 30
1/31 1 31
1/32 1 32
1/33 1 33
1/34 1 34
1/36 1 36
1/37 1 37
1/38 1 38
1/39 1 39
1/40 1 40
1/41 1 41
1/42 1 42
1/44 1 44
1/45 1 45
1/46 1 46
1/47 1 47
1/48 1 48
1/49 1 49
1/50 1 50
1/51 1 51
1/55 1 55
1/56 1 56
1/64 1 64
1/65 1 65
1/66 1 66
1/67 1 67
1/68 1 68
1/69 1 69
1/70 1 70
1/71 1 71
1/73 1 73
1/74 1 74
1/75 1 75
1/76 1 76
1/77 1 77
1/78 1 78
1/79 1 79
1/80 1 80
1/81 1 81
1/82 1 82
1/83 1 83
1/84 1 84
1/86 1 86
1/87 1 87
1/88 1 88
1/89 1 89
1/90 1 90
1/91 1 91
1/92 1 92
1/94 1 94
1/95 1 95
1/96 1 96
1/97 1 97
1/98 1 98
1/99 1 99
1/100 1 100
1/101 1 101
1/105 1 105
1/106 1 106
1/114 1 114
1/115 1 115
1/116 1 116
1/117 1 117
1/118 1 118
1/119 1 119
1/120 1 120
1/121 1 121
1/123 1 123
1/124 1 124
1/125 1 125
1/126 1 126
1/127 1 127
1/128 1 128
1/129 1 129
1/130 1 130
1/131 1 131
1/132 1 132
1/133 1 133
1/134 1 134
1/136 1 136
1/137 1 137
1/138 1 138
1/139 1 139
1/140 1 140
1/141 1 141
1/142 1 142
1/144 1 144
1/145 1 145
1/146 1 146
1/147 1 147
1/148 1 148
1/149 1 149
1/150 1 150
1/151 1 151
1/155 1 155
1/156 1 156
1/164 1 164
1/165 1 165
1/166 1 166
1/167 1 167
1/168 1 168
1/169 1 169
1/170 1 170
1/171 1 171
1/173 1 173
1/174 1 174
1/175 1 175
1/176 1 176
1/177 1 177
1/178 1 178
1/179 1 179
1/180 1 180
1/181 1 181
1/182 1 182
1/183 1 183
1/184 1 184
1/186 1 186
1/187 1 187
1/188 1 188
