163 246
7/2 7.0 2.0
6/2 6.0 2.0
8/2 8.0 2.0
12/9 12.0 9.0
5/11 5.0 11.0
2/8 2.0 8.0
15/6 15.0 6.0
5/13 5.0 13.0
8/6 8.0 6.0
6/8 6.0 8.0
7/10 7.0 10.0
8/4 8.0 4.0
1/6 1.0 6.0
15/5 15.0 5.0
14/13 14.0 13.0
14/6 14.0 6.0
7/12 7.0 12.0
6/15 6.0 15.0
10/6 10.0 6.0
9/6 9.0 6.0
14/11 14.0 11.0
2/15 2.0 15.0
7/4 7.0 4.0
4/15 4.0 15.0
3/4 3.0 4.0
10/15 10.0 15.0
2/7 2.0 7.0
15/12 15.0 12.0
14/5 14.0 5.0
10/1 10.0 1.0
2/5 2.0 5.0
13/7 13.0 7.0
12/10 12.0 10.0
6/6 6.0 6.0
3/9 3.0 9.0
5/15 5.0 15.0
1/4 1.0 4.0
8/15 8.0 15.0
8/5 8.0 5.0
12/4 12.0 4.0
3/15 3.0 15.0
4/7 4.0 7.0
11/8 11.0 8.0
14/15 14.0 15.0
3/14 3.0 14.0
13/4 13.0 4.0
6/9 6.0 9.0
1/14 1.0 14.0
2/9 2.0 9.0
2/10 2.0 10.0
5/14 5.0 14.0
12/12 12.0 12.0
14/8 14.0 8.0
1/12 1.0 12.0
6/14 6.0 14.0
11/4 11.0 4.0
15/4 15.0 4.0
12/15 12.0 15.0
4/3 4.0 3.0
3/8 3.0 8.0
14/14 14.0 14.0
3/2 3.0 2.0
12/11 12.0 11.0
6/7 6.0 7.0
6/13 6.0 13.0
1/10 1.0 10.0
2/3 2.0 3.0
11/12 11.0 12.0
2/4 2.0 4.0
14/4 14.0 4.0
7/13 7.0 13.0
7/8 7.0 8.0
1/15 1.0 15.0
7/5 7.0 5.0
15/13 15.0 13.0
4/11 4.0 11.0
10/10 10.0 10.0
7/15 7.0 15.0
7/1 7.0 1.0
15/14 15.0 14.0
8/8 8.0 8.0
3/3 3.0 3.0
1/7 1.0 7.0
12/3 12.0 3.0
4/4 4.0 4.0
1/11 1.0 11.0
14/2 14.0 2.0
3/13 3.0 13.0
11/15 11.0 15.0
11/10 11.0 10.0
5/10 5.0 10.0
6/11 6.0 11.0
11/1 11.0 1.0
12/2 12.0 2.0
4/8 4.0 8.0
13/5 13.0 5.0
5/2 5.0 2.0
5/5 5.0 5.0
5/12 5.0 12.0
11/2 11.0 2.0
12/5 12.0 5.0
9/15 9.0 15.0
2/11 2.0 11.0
7/14 7.0 14.0
4/6 4.0 6.0
15/2 15.0 2.0
13/10 13.0 10.0
7/9 7.0 9.0
14/10 14.0 10.0
6/12 6.0 12.0
8/9 8.0 9.0
4/9 4.0 9.0
4/2 4.0 2.0
8/1 8.0 1.0
1/2 1.0 2.0
14/9 14.0 9.0
11/3 11.0 3.0
1/5 1.0 5.0
13/13 13.0 13.0
12/6 12.0 6.0
8/7 8.0 7.0
5/3 5.0 3.0
2/6 2.0 6.0
12/1 12.0 1.0
7/7 7.0 7.0
6/3 6.0 3.0
9/8 9.0 8.0
14/3 14.0 3.0
2/1 2.0 1.0
10/2 10.0 2.0
9/1 9.0 1.0
5/1 5.0 1.0
5/9 5.0 9.0
5/4 5.0 4.0
12/7 12.0 7.0
13/3 13.0 3.0
3/10 3.0 10.0
4/10 4.0 10.0
13/2 13.0 2.0
2/14 2.0 14.0
2/13 2.0 13.0
2/2 2.0 2.0
1/8 1.0 8.0
10/5 10.0 5.0
14/1 14.0 1.0
1/3 1.0 3.0
15/15 15.0 15.0
1/9 1.0 9.0
6/1 6.0 1.0
3/5 3.0 5.0
1/1 1.0 1.0
5/6 5.0 6.0
3/1 3.0 1.0
6/5 6.0 5.0
13/6 13.0 6.0
15/8 15.0 8.0
4/5 4.0 5.0
13/15 13.0 15.0
14/7 14.0 7.0
9/5 9.0 5.0
1/13 1.0 13.0
11/5 11.0 5.0
4/1 4.0 1.0
246
2/6 2/7
3/14 3/13
14/15 13/15
13/4 14/3
5/1 4/1
15/8 14/6
4/1 3/1
11/8 12/7
8/6 5/2
9/6 10/5
8/7 9/6
5/5 6/6
5/11 4/10
10/5 9/5
5/13 3/15
7/10 7/9
14/7 14/8
13/6 13/7
6/13 6/14
5/2 6/3
4/5 4/6
14/2 13/2
6/11 6/9
3/13 3/10
7/2 13/3
1/15 2/14
5/4 6/5
13/10 14/9
6/5 5/5
6/8 7/8
3/15 1/10
7/13 6/14
1/2 1/3
3/15 4/15
6/15 5/14
11/8 12/10
11/3 11/4
1/2 2/2
9/5 9/6
3/13 4/11
1/3 1/4
4/2 3/1
5/12 5/13
13/5 13/6
4/9 4/10
1/12 1/13
3/3 3/2
1/7 2/7
7/15 8/15
2/4 2/5
7/9 6/9
8/1 9/1
2/2 2/1
11/8 12/9
3/3 4/4
11/10 10/10
7/8 8/8
10/15 9/15
4/7 4/8
4/2 5/2
7/2 8/2
2/14 1/14
8/2 10/2
14/5 13/7
2/5 2/6
2/5 4/9
12/11 11/12
6/12 6/11
12/5 12/6
6/2 7/2
1/5 1/6
7/8 8/7
6/5 5/2
13/2 12/2
7/8 10/6
5/11 6/11
10/1 11/1
1/6 1/7
7/5 6/5
7/8 5/5
5/15 6/15
14/11 15/12
12/1 11/1
13/10 14/11
5/10 4/9
12/5 13/4
11/2 12/2
6/1 7/1
1/9 2/10
2/7 2/8
4/9 3/9
6/8 6/7
5/3 4/2
2/2 2/3
14/13 13/13
8/15 9/15
11/12 14/13
12/5 9/6
2/11 1/10
8/15 7/10
2/8 2/9
7/7 8/7
2/9 2/10
1/3 2/5
11/4 11/5
7/12 7/10
2/3 2/4
6/15 7/15
4/11 5/13
1/5 2/7
4/6 4/7
3/1 2/1
12/6 7/8
10/5 11/4
6/2 8/4
15/13 12/12
1/7 1/8
13/4 12/4
4/15 5/15
6/6 7/7
13/4 13/5
11/4 8/4
7/9 6/11
3/2 4/2
5/5 4/5
12/4 11/4
14/10 14/11
4/9 3/8
15/6 15/5
15/15 14/15
14/6 15/12
4/6 3/5
1/9 1/10
7/1 8/1
1/1 1/2
1/4 1/5
2/1 1/1
15/13 12/9
14/4 13/4
4/3 5/4
2/7 3/9
11/4 12/3
7/8 6/7
12/4 12/5
6/7 5/6
2/1 3/2
10/2 11/2
7/10 8/8
11/8 14/8
7/13 6/12
2/13 1/14
8/8 9/8
12/9 13/10
