1425 3750
10/25 10.0 25.0
15/24 15.0 24.0
7/30 7.0 30.0
2/11 2.0 11.0
13/17 13.0 17.0
26/26 26.0 26.0
2/24 2.0 24.0
18/26 18.0 26.0
6/8 6.0 8.0
25/27 25.0 27.0
27/36 27.0 36.0
25/37 25.0 37.0
37/15 37.0 15.0
35/40 35.0 40.0
9/24 9.0 24.0
18/10 18.0 10.0
35/17 35.0 17.0
5/22 5.0 22.0
30/39 30.0 39.0
22/36 22.0 36.0
12/11 12.0 11.0
38/35 38.0 35.0
14/1 14.0 1.0
18/32 18.0 32.0
17/9 17.0 9.0
10/26 10.0 26.0
26/25 26.0 25.0
8/16 8.0 16.0
6/35 6.0 35.0
37/13 37.0 13.0
34/13 34.0 13.0
6/9 6.0 9.0
36/16 36.0 16.0
40/18 40.0 18.0
24/8 24.0 8.0
12/21 12.0 21.0
1/3 1.0 3.0
12/19 12.0 19.0
32/30 32.0 30.0
37/6 37.0 6.0
16/14 16.0 14.0
15/17 15.0 17.0
1/10 1.0 10.0
13/22 13.0 22.0
29/17 29.0 17.0
26/19 26.0 19.0
26/39 26.0 39.0
30/2 30.0 2.0
25/14 25.0 14.0
39/25 39.0 25.0
33/15 33.0 15.0
33/28 33.0 28.0
6/4 6.0 4.0
18/17 18.0 17.0
13/4 13.0 4.0
1/25 1.0 25.0
7/1 7.0 1.0
31/7 31.0 7.0
15/30 15.0 30.0
22/21 22.0 21.0
18/5 18.0 5.0
35/34 35.0 34.0
27/5 27.0 5.0
35/7 35.0 7.0
23/38 23.0 38.0
33/11 33.0 11.0
1/14 1.0 14.0
24/12 24.0 12.0
27/40 27.0 40.0
32/23 32.0 23.0
8/13 8.0 13.0
36/18 36.0 18.0
9/23 9.0 23.0
2/8 2.0 8.0
30/34 30.0 34.0
25/32 25.0 32.0
23/29 23.0 29.0
31/1 31.0 1.0
5/32 5.0 32.0
33/4 33.0 4.0
38/18 38.0 18.0
18/3 18.0 3.0
24/1 24.0 1.0
33/12 33.0 12.0
2/21 2.0 21.0
8/34 8.0 34.0
22/18 22.0 18.0
26/5 26.0 5.0
27/35 27.0 35.0
34/14 34.0 14.0
12/9 12.0 9.0
21/37 21.0 37.0
23/22 23.0 22.0
37/39 37.0 39.0
31/3 31.0 3.0
26/13 26.0 13.0
27/2 27.0 2.0
7/14 7.0 14.0
17/19 17.0 19.0
8/12 8.0 12.0
18/22 18.0 22.0
13/12 13.0 12.0
14/13 14.0 13.0
12/24 12.0 24.0
33/40 33.0 40.0
35/19 35.0 19.0
19/7 19.0 7.0
22/27 22.0 27.0
12/7 12.0 7.0
3/38 3.0 38.0
22/28 22.0 28.0
22/14 22.0 14.0
15/15 15.0 15.0
1/6 1.0 6.0
5/24 5.0 24.0
27/18 27.0 18.0
23/10 23.0 10.0
14/32 14.0 32.0
15/6 15.0 6.0
32/25 32.0 25.0
36/34 36.0 34.0
11/21 11.0 21.0
13/35 13.0 35.0
36/8 36.0 8.0
40/30 40.0 30.0
11/17 11.0 17.0
21/22 21.0 22.0
6/7 6.0 7.0
20/6 20.0 6.0
26/9 26.0 9.0
28/12 28.0 12.0
40/15 40.0 15.0
25/16 25.0 16.0
7/7 7.0 7.0
3/22 3.0 22.0
11/25 11.0 25.0
36/9 36.0 9.0
2/13 2.0 13.0
24/16 24.0 16.0
8/9 8.0 9.0
8/1 8.0 1.0
15/37 15.0 37.0
7/16 7.0 16.0
1/15 1.0 15.0
40/29 40.0 29.0
20/25 20.0 25.0
20/30 20.0 30.0
2/20 2.0 20.0
1/16 1.0 16.0
16/34 16.0 34.0
35/39 35.0 39.0
14/5 14.0 5.0
36/22 36.0 22.0
38/14 38.0 14.0
37/14 37.0 14.0
24/30 24.0 30.0
35/18 35.0 18.0
20/22 20.0 22.0
15/13 15.0 13.0
35/6 35.0 6.0
1/19 1.0 19.0
35/21 35.0 21.0
11/6 11.0 6.0
12/1 12.0 1.0
17/34 17.0 34.0
24/25 24.0 25.0
34/9 34.0 9.0
5/18 5.0 18.0
9/38 9.0 38.0
11/14 11.0 14.0
38/2 38.0 2.0
17/10 17.0 10.0
10/7 10.0 7.0
15/20 15.0 20.0
36/15 36.0 15.0
15/35 15.0 35.0
22/1 22.0 1.0
34/29 34.0 29.0
10/40 10.0 40.0
29/35 29.0 35.0
29/16 29.0 16.0
5/14 5.0 14.0
1/18 1.0 18.0
25/26 25.0 26.0
19/25 19.0 25.0
17/8 17.0 8.0
5/2 5.0 2.0
37/20 37.0 20.0
12/28 12.0 28.0
26/8 26.0 8.0
20/1 20.0 1.0
9/34 9.0 34.0
9/39 9.0 39.0
20/33 20.0 33.0
29/33 29.0 33.0
40/33 40.0 33.0
29/32 29.0 32.0
15/5 15.0 5.0
13/10 13.0 10.0
27/23 27.0 23.0
24/10 24.0 10.0
35/31 35.0 31.0
28/16 28.0 16.0
23/35 23.0 35.0
38/28 38.0 28.0
2/18 2.0 18.0
33/20 33.0 20.0
34/15 34.0 15.0
21/21 21.0 21.0
7/10 7.0 10.0
32/10 32.0 10.0
9/21 9.0 21.0
16/16 16.0 16.0
40/6 40.0 6.0
6/37 6.0 37.0
19/9 19.0 9.0
38/22 38.0 22.0
21/38 21.0 38.0
5/31 5.0 31.0
27/26 27.0 26.0
13/27 13.0 27.0
36/4 36.0 4.0
36/25 36.0 25.0
35/33 35.0 33.0
13/40 13.0 40.0
23/23 23.0 23.0
4/21 4.0 21.0
3/4 3.0 4.0
6/36 6.0 36.0
31/39 31.0 39.0
7/17 7.0 17.0
7/13 7.0 13.0
